Term [en-US],Term [ar],Term [zh-CN],Term [zh-TW],Term [nl-NL],Term [fr],Term [de-DE],Term [el-GR],Term [ha-NG],Term [hi-IN],Term [hu-HU],Term [id-ID],Term [it-IT],Term [ja-JP],Term [ko-KR],Term [fa-AF],Term [ms-MY],Term [pcm],Term [pl-PL],Term [pt-BR],Term [ro-RO],Term [ru-RU],Term [es-419],Term [tl],Term [th-TH],Term [tr-TR],Term [uk-UA],Term [vi-VN],Term [en-GB]
multi-factor authentication,مصادقة متعددة العوامل,多因素身份验证,多重要素驗證,meervoudige verificatie,Authentification multifactorielle,Multifaktor-Authentifizierung,Έλεγχος ταυτότητας πολλών παραγόντων,Tabbatarwa ta hanyoyi da dama,मल्टीफैक्टर ऑथेंटिकेशन,Többtényezős hitelesítés,Autentikasi Multifaktor,Autenticazione a più fattori,多要素認証,다중 인증,احراز هویت چند عاملی,Pengesahan Pelbagai Faktor,Double-double verification,Uwierzytelnianie wieloskładnikowe,Autenticação multifatorial,Autentificare multifactorială,Многофакторная аутентификация,autenticación multifactor,Multifactor na Pagpapatunay,การพิสูจน์ตัวจริงหลายปัจจัย,Çok Faktörlü Kimlik Doğrulaması,Багатофакторна автентифікація,Xác thực đa yếu tố,
multi-sig,متعددة التوقيع,多重签名,多簽錢包,multi-sig,Multisig,Multi-Sig,Πολλαπλών υπογραφών,Walat mai sa hannu multiple,multi-sig,több aláírású,multi-sig,multi-sig,マルチシグ,다중서명,چند امضایی,multi-sig,multi-signature,Multisig,multisig,multi-sig,multi-sig,multifirma,multi-sig,แบบหลายลายเซ็น,çoklu imza,мультипідпис,đa chữ ký,
multi-signature wallet,محفظة متعددة التوقيع (multisig),多重签名钱包（multisig）,多簽錢包,multi-signature wallet (multisig),portefeuille multi-signature (Multisig),Multi-Signatur-Wallet (Multi-Sig),πορτοφόλι πολλαπλών υπογραφών (multisig),Walat mai sa hannu multiple,multi-signature wallet (multisig),több aláírású pénztárca (multisig),dompet multi-tanda tangan (multisig),portafoglio multi-firma (multisig),マルチシグウォレット (マルチシグ),다중서명지갑(multisig),کیف پول چند امضایی (multisig),dompet berbilang tandatangan (multisig),Wallet wey need multiple approvals,Portfel multi-signature (multisig),carteira multiassinatura (multisig),portofel multi-semnătură (multisig),кошелек с мультиподписью (multisig),monadero multifirma,multi-signature na wallet (multisig),วอลเล็ตหลายลายเซ็น (multisig),çoklu imza cüzdanı,гаманець з мультипідписом (multisig),ví đa chữ ký (multisig),
nested blockchain,بلوكتشين متداخل,嵌套区块链,巢狀區塊鏈,nested blockchain,Blockchain imbriquée / Chaîne de blocs imbriquée,Verschachtelte Blockchain,Nested Blockchain,Blockchain a cikin wani blockchain,नेस्टेड ब्लॉकचेन,beágyazott blokklánc,Nested Blockchain,Nested Blockchain,ネストされたブロックチェーン,중첩블록체인,بلاک‌چین تودرتو,Rantaian Blok Bersarang,Blockchain inside another blockchain,Blockchain zagnieżdżony,Blockchain aninhada,Nested Blockchain,Вложенный блокчейн,cadena de bloques anidada,Nested na Blockchain,บล็อกเชนย่อย,Nested (İç İçe) Blokzincir,Вкладений блокчейн,Chuỗi khối lồng nhau,
network,شبكة,网络,網路,netwerk,Réseau ,Netzwerk,Network (Δίκτυο),Cibiyar Sadarwa,नेटवर्क,hálózat,Jaringan  ,Rete,ネットワーク,네트워크,شبکه,Rangkaian,Network,Sieć,Rede,Rețea,Сеть,red,Network,เครือข่าย,Ağ,Мережа,Mạng,
network pcongestion,ازدحام الشبكة,网络拥塞,網路擁塞,netwerkcongestie,Congestion de réseau,Netzwerküberlastung,Συμφόρηση δικτύου,Cunkoson cibiyar sadarwa,नेटवर्क कंजेस्शन,hálózati torlódás,Kemacetan Jaringan,Congestione della rete,ネットワークの輻輳,네트워크 정체,ازدحام شبکه,Kesesakan Rangkaian,Network Overload,Przeciążenie sieci,Congestionamento de rede,Congestionarea rețelei,Перегрузка сети,congestión de red,Pagsisikip ng Network,ความแออัดของเครือข่าย,Ağ Tıkanıklığı,Перевантаження мережі,Nghẽn mạng,
NFC,خاصية الاتصال قريب المدى (NFC),近距离无线通讯（NFC）,近距離無線通訊,NFC (near-field communication),Communication en champ proche (NFC),Near Field Communication (NFC),Επικοινωνία κοντινού πεδίου (NFC),Sadarwa ta Kusa (NFC),नियर-फील्ड कम्युनिकेशन (NFC),Near-Field Communication (NFC),Komunikasi Near-Field (NFC),Near-Field Communication (NFC),近距離無線通信 (NFC),근거리 무선 통신(NFC),ارتباطات در محدوده نزدیک (NFC),Komunikasi Medan Dekat (NFC),Tap and Pay Technology,NFC (komunikacja bliskiego zasięgu),Comunicação por campo de proximidade (NFC),Near-Field Communication (NFC - comunicare în câmp apropiat),Технология ближней бесконтактной связи (NFC),comunicación de campo cercano (NFC),Near-Field Communication (NFC),การสื่อสารไร้สายระยะใกล้ (NFC),Yakın Alan İletişimi (NFC),Комунікація ближнього поля (NFC,Giao tiếp trường gần (NFC),
NFT,NFT,NFT,NFT,NFT,NFT,NFT,NFT,NFT,NFT,NFT,NFT,NFT,NFT,NFT,NFT,NFT,Unique digital asset wey no get copy,NFT,NFT,NFT,NFT,NFT,NFT,NFT,NFT,NFT,NFT,
NFT aggregator,مُجمِعّ NFT,NFT 聚合器,NFT 聚合器,NFT-aggregator,Agrégateur NFT,NFT-Aggregator,NFT aggregator,Mai tattara NFT,NFT एग्रीगेटर,NFT-aggregátor,agregator NFT,Aggregatore NFT,NFTアグリゲーター,NFT 애그리게이터,تجمیع‌کننده ان‌اف‌تی,Agregator NFT,one big marketplace for all your digital art,Agregator NFT,Agregador de NFTs,Agregator NFT,NFT-агрегатор,agregador de NFT,NFT aggregator,ผู้รวบรวม NFT,NFT toplayıcı,NFT-агрегатор,Nền tảng giao dịch NFT,
NFT drop,توزيع NFT,NFT 投放,NFT 投放,NFT-drop,Mise en vente de NFT,NFT-Drop,NFT drop,Fitar NFT,NFT ड्रॉप,NFT csepp,NFT drop,NFT drop,NFTドロップ,NFT 하락,ایردراپ ان‌اف‌تی,NFT drop,NFT Release,Drop / zrzut NFT,Drop de NFTs,NFT drop,NFT-дроп,drop de NFT,Paglaglag ng NFT,การปล่อยผลงาน NFT,NFT drop,NFT-дроп,Tặng NFT,
Ngrave,Ngrave,Ngrave,Ngrave,Ngrave,Ngrave,Ngrave,Ngrave,Ngrave,Ngrave,Ngrave,Ngrave,Ngrave,Ngrave,Ngrave,Ngrave,Ngrave,Ngrave,Ngrave,Ngrave,Ngrave,Ngrave,Ngrave,Ngrave,Ngrave,Ngrave,Ngrave,Ngrave,
node,عقدة,节点,節點,node,nœud,Node,κόμβος,nodo,नोड,csomópont,node,nodo,ノード,노드,گره,nod,Part of di Network,Węzeł,nó,nod,узел,nodo,node,โหนด,düğüm,вузол,nút,
non-fungible token,رمز غير قابل للاستبدال,非同质化代币,非同質化代幣,non-fungible token,Jeton non fongible,Non-Fungible token,Μη Εναλλάξιμα Κρυπτοπαραστατικά,Kadarori marar musanya,नॉन-फंजिबिल टोकन,nem helyettesíthető token,Non-fungible token,Non-fungible token,非代替性トークン,대체불가토큰,توکن بی‌همتا,Token tidak boleh digunakan (NFT),Unique digital asset wey no get copy,Niewymienny token,Token não fungível,Token nefungibil,Невзаимозаменяемый токен,token no fungible,Non-fungible token,โทเค็นที่ไม่สามารถทดแทนได้ ,Nitelikli fikri tapu,Невзаємозамінний токен,Mã thông báo không thể thay thế,
nonce,الرقم التعريفي,唯一交易标识号,僅使用一次的數字,nonce,nonce,Nonce,αριθμολέξημα,nonce,nonce,nonce,nonce,nonce,ナンス,논스,نانس,nonce,Special Number for Security,Nonce,nonce,nonce,одноразовый код,nonce,nonce,นอนซ์,nonce,одноразовий номер,số nonce,
off-chain,خارج البلوكتشين,链下,鏈下,off-chain,Hors chaîne,Off-Chain,εκτός αλυσίδας,ma'amala a waje da cibiyar sadarwa,ऑफ-चेन,láncon kívüli,off-chain,off-chain,オフチェーン,오프체인,برون زنجیره‌ای,luar rantaian,Outside the Main Blockchain,Transakcje off-chain (poza łańcuchem),fora da rede,off-chain,оффчейн,fuera de cadena,wala sa chain,ออฟเชน,zincir dışı,офчейн-транзакція,ngoài chuỗi,
off-ramp,تحويل أصل رقمي إلى عملة عادية، عملة عادية إلى أصل رقمي,充值，提现,入金、出金,"on-ramp, off-ramp","conversion de monnaie fiat en jetons sur la blockchain (on-ramp), échange d’actifs  de la blockchain en monnaie fiat (off-ramp)","On-Ramp, Off-Ramp","on-ramp, off-ramp","canjin dukiya zuwa crypto, canjin crypto zuwa dukiya","ऑन-रैंप, ऑफ-रैंप","on-ramp, off-ramp",on-ramp; off-ramp,"on-ramp, off-ramp","オンランプ, オフランプ","온램프, 오프램프",مسیر ورود، مسیر خروج,"on-ramp, off-ramp",Way to buy and sell crypto,"Usługi on-ramp, off-ramp","on-ramp, off-ramp","on-ramp, off-ramp","он-рэмп, офф-рэмп","rampa de acceso, rampa de salida","nasa rampa, wala sa rampa","แลกเข้า, แลกออก","on-ramp, off-ramp","он-ремп, оф-ремп","chuyển đổi xuôi, chuyển đổi ngược",
ommer block,كتلة ommer,ommer 区块,叔塊,ommerblock,bloc ommer,Ommer Block,ommer block,omma block,ओमेर (ommer) ब्लॉक,ommer blokk,block ommer,ommer block,オマーブロック,오머 블록,بلاک اومر,ommer block,Block wey get created temporarily but no dey included in the main chain,Ommer,bloco ommer,bloc ommer,блок оммер,bloque ommer,ommer block,ออมเมอร์บล็อก,ommer blok,оммер-блок,khối ommer,
on-chain,على البلوكتشين,链上,鏈上,on-chain,sur la chaîne/sur la blockchaîne,On-Chain,εντός αλυσίδας,ma'amala a ciki cibiyar sadarwa,ऑन-चेन,láncon belül,on-chain,on-chain,オンチェーン,온체인,درون زنجیره‌ای,dalam rantaian,For the main blockchain network,Transakcje on-chain (w łańcuchu),na rede,on-chain,ончейн,en cadena,nasa chain,ออนเชน,zincir içi,ончейн-транзакція,trên chuỗi,
on-ramp,شراء أصل رقمي بعملة عادية,充值,入金,on-ramp,on-ramp,On-Ramp,on-ramp,canjin dukiya zuwa crypto,ऑन-रैंप,on-ramp,on-ramp,on-ramp,オンランプ,온램프,مسیر ورود,on-ramp,Way to buy and sell crypto,Usługi on-ramp,on-ramp,on-ramp,он-рэмп,rampa de acceso,nasa rampa,แลกเข้า,on-ramp,он-ремп,chuyển đổi xuôi,
ONE,ONE,ONE,ONE,ONE,ONE,ONE,ONE,ONE,ONE,ONE,ONE,ONE,ONE,ONE,ONE,ONE,ONE,ONE,ONE,ONE,ONE,ONE,ONE,ONE,ONE,ONE,ONE,
OpenSea,OpenSea,OpenSea,OpenSea,OpenSea,OpenSea,OpenSea,OpenSea,OpenSea,OpenSea,OpenSea,OpenSea,OpenSea,OpenSea,OpenSea,OpenSea,OpenSea,OpenSea,OpenSea,OpenSea,OpenSea,OpenSea,OpenSea,OpenSea,OpenSea,OpenSea,OpenSea,OpenSea,
Opera,Opera,Opera,Opera,Opera,Opera,Opera,Opera,Opera,Opera,Opera,Opera,Opera,Opera,Opera,Opera,Opera,Opera,Opera,Opera,Opera,Opera,Opera,Opera,Opera,Opera,Opera,Opera,
Optimism,Optimism,Optimism,Optimism,Optimism,Optimism,Optimism,Optimism,Optimism,Optimism,Optimism,Optimism,Optimism,Optimism,Optimism,Optimism,Optimism,Optimism,Optimism,Optimism,Optimism,Optimism,Optimism,Optimism,Optimism,Optimism,Optimism,Optimism,
optimistic rollup,تجميعات Optimistic,乐观性扩容方案（ORU）,Optimistic Rollup,optimistic rollup,rollup optimisé,Optimistischer Rollup,optimistic rollup,tabbatarwa mai sauƙi ,ऑप्टिमिस्टिक रॉलअप,optimista összesítés,roll-up optimis,rollup ottimistico,オプティミスティックロールアップ,옵티미스틱 롤업,راهکارهای خوشبینانه,penggulungan optimistik,e go check well-well if fraud dey ,Rollup optymistyczny,rollup otimista,rollup optimist,оптимистичный роллап,rollup optimista,optimistic rollup,โรลล์อัปแบบออปติมิสติก,optimistik rollup,оптимістичний роллап,tổng hợp lạc quan,
Optional,اختياري,可选,選用,optioneel,Facultatif,Optional,Optional (Προαιρετικά),Zabin Zaɓi,वैकल्पिक,opcionális,Opsional,Facoltative,オプション,옵션,اختیاری,Pilihan,No be by force,Opcje dodatkowe,Opcional,Opțional,Необязательные,opcional,Opsyonal,ไม่บังคับ,İsteğe bağlı,Додатково,Không bắt buộc,
Oracle,أوراكل,预言机,預言機,oracle,Oracle,Oracle,Oracle,Oracle,Oracle,Oracle,Oracle,Oracle,Oracle,오라클,اوراکل,Oracle,Oracle,Wyrocznia (Oracle),Oráculo,Oracle,Oracle,oráculo,Orakulo,ออราเคิล,Oracle,Oracle,Nguồn cấp dữ liệu,
P2P,P2P,P2P,P2P,P2P,P2P,P2P,P2P,Tsakanin mutane kai tsaye,P2P,P2P,P2P,P2P,P2P,P2P,P2P,P2P,P2P,P2P,P2P,P2P,P2P,P2P,P2P,P2P,P2P,P2P,P2P,
P2P,نظير إلى نظير (P2P),点对点（P2P）,點對點式網路,peer-to-peer (P2P),Pair-à-pair (P2P),Peer-to-Peer (P2P),P2P (μεταξύ ομοτίμων),Tsakanin mutane kai tsaye,पियर-टू-पियर (P2P),ponttól-pontig (P2P),peer-to-peer (P2P),peer-to-peer (P2P),ピアツーピア (P2P),피어 투 피어(P2P),همتا به همتا (P2P),perangkai padan (P2P),"No middleman, person to person",Peer-to-peer (P2P),ponto a ponto (P2P),peer-to-peer (P2P),пиринговый (P2P),entre pares (P2P),peer-to-peer (P2P),เพียร์ทูเพียร์ (P2P),eşler arası (P2P),однорангова мережа (P2P),ngang hàng (P2P),
Palm,Palm,Palm,Palm,Palm,Palm,Palm,Palm,Palm,Palm,Palm,Palm,Palm,Palm,Palm,Palm,Palm,Palm,Palm,Palm,Palm,Palm,Palm,Palm,Palm,Palm,Palm,Palm,
PALM,PALM,PALM,PALM,PALM,PALM,PALM,PALM,PALM,PALM,PALM,PALM,PALM,PALM,PALM,PALM,PALM,PALM,PALM,PALM,PALM,PALM,PALM,PALM,PALM,PALM,PALM,PALM,
ParaSwap,ParaSwap,ParaSwap,ParaSwap,ParaSwap,ParaSwap,ParaSwap,ParaSwap,ParaSwap,ParaSwap,ParaSwap,ParaSwap,ParaSwap,ParaSwap,파라스왑,ParaSwap,ParaSwap,Paraswap,ParaSwap,ParaSwap,ParaSwap,Paraswap,ParaSwap,ParaSwap,ParaSwap,ParaSwap,ParaSwap,ParaSwap,
parity,Parity,Parity,同等,pariteit,parité,Parität,ισοτιμία,daidai,पैरिटी,paritás,paritas,parità,パリティ,패리티,کلاینت پریتی,pariti,parity,Parytet,paridade,paritate,паритет,paridad,pagkakapantay-pantay,แพริตี,parite,паритет,ngang bằng,
passphrase,عبارة المرور,密语,助記詞,wachtwoordzin,Phrase secrète/Phrase de passe,Passphrase,Φράση πρόσβασης,Kalmar sirri,पासफ्रेज़,jelszó,Passphrase,Passphrase,パスフレーズ,패스프레이즈,عبارت عبور,Frasa laluan,Secret Word,Passphrase,Frase secreta,Passphrase,Парольная фраза,frase de contraseña,Passphrase,วลีรหัสผ่าน,Parola,Парольна фраза,Cụm mật khẩu,
password,كلمة المرور,密码,密碼,wachtwoord,Mot de passe,Passwort,Κωδικός πρόσβασης,Kalmar sirri,पासवर्ड,jelszó,Kata sandi,Password,パスワード,비밀번호,گذرواژه,Kata laluan,Secret Word,Hasło,Senha,Parolă,Пароль,contraseña,Password,รหัสผ่าน,Şifre,Пароль,Mật khẩu,
password manager,مدير كلمات المرور,密码管理工具,密鑰管理員,wachtwoordmanager,gestionnaire de mots de passe,Passwortmanager,Διαχείριση κωδικών πρόσβασης,mai sarrafa kalmomin sirri,password manager,jelszókezelő,pengelola kata sandi,gestore di password,パスワードマネージャー,비밀번호 매니저,مدیر گذرواژه,pengurus kata laluan,Password Keeper,Menedżer haseł,gerenciador de senhas,manager parole,менджер паролей,gestor de contraseñas,tagapamahala ng password,เครื่องมือจัดการรหัสผ่าน,şifre yöneticisi,менеджер паролів,trình quản lý mật khẩu,
PayPal,PayPal,PayPal,PayPal,PayPal,PayPal,PayPal,PayPal,PayPal,PayPal,PayPal,PayPal,PayPal,PayPal,PayPal,PayPal,PayPal,PayPal,PayPal,PayPal,PayPal,PayPal,PayPal,PayPal,PayPal,PayPal,PayPal,PayPal,
peer-to-peer,نظير إلى نظير,点对点,點對點,peer-to-peer,Pair-à-pair,Peer-to-Peer,Peer-to-peer (μεταξύ ομοτίμων),Tsakanin mutane kai tsaye,Peer-to-peer,ponttól-pontig,Peer-to-peer,Peer-to-peer,ピアツーピア,피어 투 피어,همتا به همتا,Perangkai Padan,Peer-to-peer,Peer-to-peer,Ponto a ponto,Peer-to-peer,Пиринговый,entre pares,Peer-to-peer,เพียร์ทูเพียร์,Eşler arası,Однорангова мережа,Ngang hàng,
Pending,مُعلقة,待定,待處理,in behandeling,En attente,Ausstehend,Σε εκκρεμότητα,Jiran,अभी पूरा नहीं हुआ,függőben lévő,Menunggu,In sospeso,保留中,보류 중,معلق,Belum selesai,Waiting,W toku,Pendente,În așteptare,Ожидающий/ая,pendiente,Nakabinbin,รอดำเนินการ,Bekleyen,В стані очікування,Chờ xử lý,
Permission,إذن,许可,許可,toestemming,Autorisation,Genehmigung,Άδεια,Izinin,अनुमति,engedély,Izin,Autorizzazione,許可 / アクセス許可 / 権限,승인,مجوز,Kebenaran,Permission,Uprawnienia,Permissão,Permisiune,Разрешение,permiso,Pahintulot,การอนุญาต,İzin,Дозвіл,Quyền,
