Term [en-US],Term [ar-001],Term [zh-CN],Term [zh-TW],Term [nl-NL],Term [fr-FR],Term [de-DE],Term [el-GR],Term [ha-NG],Term [hi-IN],Term [hu-HU],Term [id-ID],Term [it-IT],Term [ja-JP],Term [ko-KR],Term [fa-AF],Term [ms-MY],Term [pcm-NG],Term [pl-PL],Term [pt-BR],Term [ro-RO],Term [ru-RU],Term [es-419],Term [tl-PH],Term [th-TH],Term [tr-TR],Term [uk-UA],Term [vi-VN],Term [en-GB]
on-ramp,شراء أصل رقمي بعملة عادية,充值,入金,on-ramp,on-ramp,On-Ramp,εντός εφαρμογών,canjin dukiya zuwa crypto,ऑन-रैंप,on-ramp,on-ramp,on-ramp,オンランプ,온램프,مسیر ورود,on-ramp,way to buy and sell crypto,Usługi on-ramp,on-ramp,on-ramp,он-рэмп,rampa de acceso,nasa rampa,แลกเข้า,on-ramp,он-ремп,chuyển đổi xuôi,on-ramp
ONE,ONE,ONE,ONE,ONE,ONE,ONE,ONE,ONE,ONE,ONE,ONE,ONE,ONE,ONE,ONE,ONE,ONE,ONE,ONE,ONE,ONE,ONE,ONE,ONE,ONE,ONE,ONE,ONE
OpenSea,OpenSea,OpenSea,OpenSea,OpenSea,OpenSea,OpenSea,OpenSea,OpenSea,OpenSea,OpenSea,OpenSea,OpenSea,OpenSea,OpenSea,OpenSea,OpenSea,OpenSea,OpenSea,OpenSea,OpenSea,OpenSea,OpenSea,OpenSea,OpenSea,OpenSea,OpenSea,OpenSea,OpenSea
Opera,Opera,Opera,Opera,Opera,Opera,Opera,Opera,Opera,Opera,Opera,Opera,Opera,Opera,Opera,Opera,Opera,Opera,Opera,Opera,Opera,Opera,Opera,Opera,Opera,Opera,Opera,Opera,Opera
Optimism,Optimism,Optimism,Optimism,Optimism,Optimism,Optimism,Optimism,Optimism,Optimism,Optimism,Optimism,Optimism,Optimism,Optimism,Optimism,Optimism,Optimism,Optimism,Optimism,Optimism,Optimism,Optimism,Optimism,Optimism,Optimism,Optimism,Optimism,Optimism
optimistic rollup,تجميعات Optimistic,乐观性扩容方案（ORU）,Optimistic Rollup,optimistic rollup,rollup optimisé,Optimistischer Rollup,αισιόδοξη αναπροσαρμογή,tabbatarwa mai sauƙi,ऑप्टिमिस्टिक रॉलअप,optimista összesítés,roll-up optimis,rollup ottimistico,オプティミスティックロールアップ,옵티미스틱 롤업,راهکارهای خوشبینانه,penggulungan optimistik,e go check well-well if fraud dey,Rollup optymistyczny,rollup otimista,rollup optimist,оптимистичный роллап,rollup optimista,optimistic rollup,โรลล์อัปแบบออปติมิสติก,optimistik rollup,оптимістичний роллап,tổng hợp lạc quan,optimistic rollup
Oracle,أوراكل,预言机,預言機,Oracle,Oracle,Oracle,Oracle,Oracle,Oracle,Oracle,Oracle,Oracle,Oracle,오라클,اوراکل,Oracle,Oracle,Wyrocznia (Oracle),Oráculo,Oracle,Oracle,Oráculo,Orakulo,ออราเคิล,Oracle,Oracle,Nguồn cấp dữ liệu,Oracle
P2P,P2P,P2P,P2P,P2P,P2P,P2P,P2P,P2P,P2P,P2P,P2P,P2P,P2P,P2P,P2P,P2P,P2P,P2P,P2P,P2P,P2P,P2P,P2P,P2P,P2P,P2P,P2P,P2P
Palm,Palm,Palm,Palm,Palm,Palm,Palm,Palm,Palm,Palm,Palm,Palm,Palm,Palm,Palm,Palm,Palm,Palm,Palm,Palm,Palm,Palm,Palm,Palm,Palm,Palm,Palm,Palm,Palm
PALM,PALM,PALM,PALM,PALM,PALM,PALM,PALM,PALM,PALM,PALM,PALM,PALM,PALM,PALM,PALM,PALM,PALM,PALM,PALM,PALM,PALM,PALM,PALM,PALM,PALM,PALM,PALM,PALM
ParaSwap,ParaSwap,ParaSwap,ParaSwap,ParaSwap,ParaSwap,ParaSwap,ParaSwap,ParaSwap,ParaSwap,ParaSwap,ParaSwap,ParaSwap,ParaSwap,파라스왑,ParaSwap,ParaSwap,Paraswap,ParaSwap,ParaSwap,ParaSwap,Paraswap,ParaSwap,ParaSwap,ParaSwap,ParaSwap,ParaSwap,ParaSwap,ParaSwap
parity,تكافؤ,对等性,同等,pariteit,parité,Parität,ισοτιμία,daidai,पैरिटी,paritás,paritas,parità,パリティ,패리티,کلاینت پریتی,pariti,parity,Parytet,paridade,paritate,паритет,paridad,pagkakapantay-pantay,แพริตี,parite,паритет,ngang bằng,parity
passphrase,عبارة المرور,密语,助記詞,wachtwoordzin,phrase secrète/phrase de passe,Passphrase,Φράση πρόσβασης,Kalmar wucewa,पासफ्रेज़,jelszó,Passphrase,Passphrase,パスフレーズ,패스프레이즈,عبارت عبور,Frasa laluan,Secret Word,Passphrase,Frase secreta,Passphrase,Парольная фраза,frase de contraseña,passphrase,วลีรหัสผ่าน,parola,Парольна фраза,Cụm mật khẩu,passphrase
password,كلمة المرور,密码,密碼,wachtwoord,mot de passe,Passwort,Κωδικός πρόσβασης,Kalmar sirri,पासवर्ड,jelszó,Kata sandi,Password,パスワード,비밀번호,گذرواژه,Kata laluan,Secret Word,Hasło,Senha,Parolă,Пароль,contraseña,password,รหัสผ่าน,şifre,Пароль,Mật khẩu,password
password manager,مدير كلمات المرور,密码管理工具,密鑰管理員,wachtwoordmanager,gestionnaire de mots de passe,Passwortmanager,Διαχείριση κωδικών πρόσβασης,mai sarrafa kalmomin sirri,पासवर्ड मैनेजर,jelszókezelő,pengelola kata sandi,gestore di password,パスワードマネージャー,비밀번호 매니저,مدیر گذرواژه,pengurus kata laluan,password Keeper,Menedżer haseł,gerenciador de senhas,manager parole,менджер паролей,gestor de contraseñas,tagapamahala ng password,เครื่องมือจัดการรหัสผ่าน,şifre yöneticisi,менеджер паролів,trình quản lý mật khẩu,password manager
PayPal,PayPal,PayPal,PayPal,PayPal,PayPal,PayPal,PayPal,PayPal,PayPal,PayPal,PayPal,PayPal,PayPal,PayPal,PayPal,PayPal,PayPal,PayPal,PayPal,PayPal,PayPal,PayPal,PayPal,PayPal,PayPal,PayPal,PayPal,PayPal
peer-to-peer,نظير إلى نظير,点对点,點對點,peer-to-peer,pair-à-pair,Peer-to-Peer,μεταξύ ομοτίμων,tsakanin mutane kai tsaye,पियर-टू-पियर,ponttól-pontig,peer-to-peer,peer-to-peer,ピアツーピア,피어 투 피어,همتا به همتا,perangkai padan,"no middleman, person to person",peer-to-peer,ponto a ponto,peer-to-peer,пиринговый,entre pares,peer-to-peer,เพียร์ทูเพียร์,eşler arası,oднорангова мережа,ngang hàng,peer-to-peer
permissioned ledger,سجل بإذن,许可账本,認許制帳本,permissioned ledger,registre autorisé,Permissioned Blockchain,πρόσβαση σε συγκεκριμένους μόνο χρήστες,littafi mai izini,परमिशंड लेजर,engedélyezett főkönyv,ledger yang diizinkan,permissioned ledger,許可型台帳,허가된 원장,دفترکل مجوزدار,lejar dibenarkan,blockchain wey only certain people get access to,Rejestr ograniczony (permissioned ledger),registro autorizado,registru autorizat,разрешенный реестр,registro de acceso restringido,pinahintulutang ledger,บัญชีที่อนุญาตแล้ว,izinli kayıt defteri,дозволений реєстр,sổ cái được cấp phép,permissioned ledger
phishing,التصيد الاحتيالي,网络钓鱼,網路釣魚,phishing,hameçonnage,Phishing,ηλεκτρονικό ψάρεμα,yaudara ta intanet,फ़िशिंग,adathalászat,phishing,phishing,フィッシング,피싱,فیشینگ,pancingan data,fake website or email wey wan steal your crypto,phishing,phishing,phishing,фишинг,suplantación de identidad,phishing,ฟิชชิ่ง,kimlik avı,фішинг,lừa đảo qua mạng,phishing
PKI,البنية التحتية للمفتاح العام (PKI),公钥基础设施（PKI）,公鑰基礎建設 (PKI),PKI,PKI,PKI,PKI,Tsare Sirrin Mabuɗin jama'a,PKI,PKI,PKI,PKI,PKI,PKI,PKI,PKI,System wey manage public keys and certificates for security,PKI,PKI,PKI,инфраструктура открытых ключей,PKI,PKI,PKI,PKI,PKI,PKI,PKI
Plasma,Plasma,Plasma（非托管侧链）,以太坊等離子體,Plasma,Plasma,Plasma,Πλάσμα,Plasma,प्लाज़्मा,plazma,Plasma,Plasma,Plasma,플라즈마,پلاسما,Plasma,Plasma,Plasma,Plasma,Plasma,Plasma,Plasma,Plasma,พลาสมา,Plazma,Plasma,Giải pháp Plasma,Plasma
PoA,خوارزمية إثبات السلطة (PoA),权威证明（PoA）,授權證明,PoA,Preuve d’autorité (PoA),PoA,Απόδειξη Αρχής (PoA),Tabbatar da Mutunci,PoA,jogosultság igazolása,PoA,PoA,PoA,PoA,PoA,PoA,How dem dey protect blockchain by using people wey we trust,Dowód autorytetu,PoA,PoA,доказательство полномочий,Prueba de autoridad,PoA,PoA,Yetki İspatı,Підтвердження повноважень,PoA,PoA
Polygon,Polygon,Polygon,Polygon,Polygon,Polygon,Polygon,Polygon,Polygon,Polygon,Polygon,Polygon,Polygon,Polygon,Polygon,Polygon,Polygon,Polygon,Polygon,Polygon,Polygon,Polygon,Polygon,Polygon,Polygon,Polygon,Polygon,Polygon,Polygon
PoS,PoS,PoS,PoS,PoS,PoS,PoS,PoS,PoS,PoS,PoS,PoS,PoS,PoS,PoS,PoS,PoS,PoS,PoS,PoS,PoS,PoS,PoS,PoS,PoS,PoS,PoS,PoS,PoS
PoW,PoW,PoW,PoW,PoW,PoW,PoW,PoW,PoW,PoW,PoW,PoW,PoW,PoW,PoW,PoW,PoW,PoW,PoW,PoW,PoW,PoW,PoW,PoW,PoW,PoW,PoW,PoW,PoW
private blockchain,بلوكتشين خاص,私有区块链,私鏈,private blockchain,blockchain privée/ chaîne de blocs privée,Private Blockchain,ιδιωτική αλυσίδα block,littafi sirri,प्राइवेट ब्लॉकचेन,privát blokklánc,blockchain pribadi,blockchain privata,プライベートブロックチェーン,프라이빗 블록체인,بلاک‌چین خصوصی,rantaian blok peribadi,blockchain wey only certain people get access to,Blockchain prywatny,blockchain privada,blockchain privat,закрытый блокчейн,cadena de bloques privada,pribadong blockchain,บล็อกเชนส่วนตัว,özel blokzinciri,приватний блокчейн,chuỗi khối riêng,private blockchain
private currency,عملة خاصة,私人货币,私人貨幣,private currency,devise privée/monnaie privée,Private Währung,ιδιωτικό νόμισμα,kudi sirri,प्राइवेट करेंसी,magánvaluta,mata uang pribadi,valuta privata,プライベート通貨,프라이빗 통화,ارز خصوصی,mata wang peribadi,digital money wey e no be public,Pieniądz prywatny,moeda privada,monedă privată,частная валюта,moneda privada,pribadong salapi,สกุลเงินส่วนตัว,özel para birimi,приватна валюта,đồng tiền riêng,private currency
private key,مفتاح خاص,私钥,私鑰,privésleutel,clé privée,Privater Schlüssel,ιδιωτικό κλειδί,mabuɗin sirri,प्राइवेट की (key),privát kulcs,kunci pribadi,chiave privata,秘密鍵,개인 키,کلید خصوصی,kunci peribadi,secret key for crypto,Klucz prywatny,chave privada,cheie privată,закрытый ключ,clave privada,pribadong key,คีย์ส่วนตัว,özel anahtar,закритий ключ,khóa riêng tư,private key
Proof of Stake,خوارزمية إثبات الحصة,权益证明,權益證明,Proof of Stake,Preuve de l’enjeu,Proof of Stake,Απόδειξης συμμετοχής,Tabbatarwa ta Hanyar Mallaka,प्रूफ ऑफ स्टेक,Proof of Stake,Bukti Kepemilikan,Proof of Stake,プルーフオブステーク,지분 증명,اثبات سهام,Bukti Kepentingan,How dem dey protect blockchain by you holding crypto,Dowód stawki,Prova de participação,Proof of Stake,Доказательство доли владения,Prueba de participación,Proof of Stake,การพิสูจน์แบบมีส่วนได้ส่วนเสีย,Hisse İspatı,Доказ частки володіння,Bằng chứng cổ phần,Proof of Stake
Proof of Work,خوارزمية إثبات العمل,工作量证明,工作量證明,Proof of Work,Preuve de travail,Proof of Work,Απόδειξη εργασίας,Tabbatar da Aiki,प्रूफ ऑफ वर्क,Proof of Work,Bukti kerja,Proof of Work,プルーフオブワーク,작업증명,اثبات کار,Bukti Kerja,How dem dey protect blockchain by computer wey dey solve hard problems,Dowód wykonania pracy,Prova de trabalho,Proof of Work,Доказательство выполнения работы,Prueba de trabajo,Proof of Work,การพิสูจน์ด้วยการทำงาน,İş İspatı,Доказ виконання роботи,Bằng chứng công việc,Proof of Work
protocol,بروتوكول,协议,協議,protocol,protocole,Protokoll,πρωτόκολλο,protokoli,प्रोटोकॉल,protokoll,protokol,protocollo,プロトコル,프로토콜,پروتکل,protokol,blockchain rules,protokół,protocolo,protocol,протокол,protocolo,protocol,โพรโตคอล,protokol,протокол,giao thức,protocol
public address,عنوان عام,公钥,收款地址,openbaar adres,adresse publique,Öffentliche Adresse,δημόσια διεύθυνση,adireshin jama'a,पब्लिक एड्रेस,nyilvános cím,alamat publik,indirizzo pubblico,パブリックアドレス,공개 주소,آدرس عمومی,alamat awam,your crypto address,Adres publiczny,endereço público,adresă publică,публичный адрес,dirección pública,pampublikong address,ที่อยู่สาธารณะ,genel adres,публічна адреса,địa chỉ công khai,public address
public blockchain,بلوكتشين عام,公共区块链,公有鏈,openbare blockchain/public blockchain,blockchain publique/chaîne de blocs publique,Öffentliche Blockchain,δημόσια αλυσίδα block,sarkar dijital na jama'a,पब्लिक ब्लॉकचेन,nyilvános blokklánc,blockchain publik,blockchain pubblica,パブリックブロックチェーン,퍼블릭 블록체인,بلاک‌چین عمومی,rantaian blok awam,open blockchain,Blockchain publiczny,blockchain pública,blockchain public,публичный блокчейн,cadena de bloques pública,pampublikong blockchain,บล็อกเชนสาธารณะ,genel blokzinciri,публічний блокчейн,chuỗi khối công khai,public blockchain
public key,مفتاح عام,公钥,公開金鑰,publieke sleutel/public key,clé publique,Öffentlicher Schlüssel,δημόσιο κλειδί,mabuɗin jama'a,पब्लिक की (key),nyilvános kulcs,kunci publik,chiave pubblica,公開鍵,공개 키,کلید عمومی,kunci awam,public key,Klucz publiczny,chave pública,cheie publică,открытый ключ,clave pública,pampublikong key,คีย์สาธารณะ,genel anahtar,відкритий ключ,khóa công khai,public key
public-key cryptography,تشفير المفتاح العام,公钥加密,公鑰密碼學,asymmetrische cryptografie/publieke-sleutelcryptografie,cryptographie à clé publique,Public-Key-Kryptographie,Κρυπτογράφηση δημοσίου κλειδιού,sirrin mabuɗin jama'a,पब्लिक-की क्रिप्टोग्राफी,nyilvános kulcsú kriptográfia,kriptografi kunci publik,crittografia chiave pubblica,公開鍵暗号技術,공개 키 암호화,رمزنگاری کلید عمومی,kriptografi kunci awam,special lock and key system,kryptografia klucza publicznego,criptografia de chave pública,criptografie cheie publică,криптография с открытым ключом,criptografía de clave pública,pampublikong key na kriptograpiya,วิทยาการรหัสลับคีย์สาธารณะ,açık anahtarlı şifreleme,криптографія з відкритим ключем,mật mã hoá khóa công khai,public-key cryptography
QR code,رمز الاستجابة السريعة,二维码,QR碼,QR-code,Code QR,QR-Code,κωδικός QR,Lamban QR,QR कोड,QR-kód,Kode QR,Codice QR,QRコード,QR 코드,کد کیوآر,Infrastruktur Kunci Awam,QR Code,Kod QR,Código QR,Cod QR,QR-код,código QR,QR code,รหัส QR,QR kodu,Код QR,mã QR,QR code
Quorum,Quorum,Quorum,Quorum,Quorum,Quorum,Quorum,Quorum,Quorum,Quorum,Quorum,Quorum,Quorum,Quorum,Quorum,Quorum,kod QR,Number wey dey needed for agreement,Quorum,Quorum,Quorum,Quorum,Quorum,Quorum,Quorum,Quorum,Quorum,Quorum,Quorum
Rarible,Rarible,Rarible,Rarible,Rarible,Rarible,Rarible,Rarible,Rarible,Rarible,Rarible,Rarible,Rarible,Rarible,Rarible,Rarible,Rarible,Rarible,Rarible,Rarible,Rarible,Rarible,Rarible,Rarible,Rarible,Rarible,Rarible,Rarible,Rarible
relayer,ناقل,中继器,中繼器,relayer,relayeur,Relayer,αποδέκτης,Mai watsa sake,रीलेयर (relayer),összekötő,relayer,relayer,リレイヤー,릴레이어,رله‌کننده,penyampai,Connector wey Make Blockchain Transactions Happen,Relayer,retransmissor,relayer,ретранслятор,repetidor,tagapaghatid,รีเลเยอร์,düzenleyici,ретранслятор,sàn chuyển tiếp,relayer
Remote Procedure Call,بروتوكول استدعاء الإجراء البعيد,远程过程调用,遠端程序呼叫,Remote Procedure Call,Appel de procédure à distance,Remote Procedure Call,Κλήση απομακρυσμένης διαδικασίας,Kiran Tsarin Aiki daga Nesa,रिमोट प्रोसीजर कॉल,távoli eljáráshívás,Panggilan Prosedur Jarak Jauh,Chiamata di procedura remota,遠隔手続き呼び出し,원격 프로시저 호출,فراخوانی رویه از راه دور,Panggilan Prosedur Jauh,Remote Function Call,Zdalne wywołanie procedury,Chamada de procedimento remoto,Apel de procedură la distanță,Удаленный вызов процедур,Llamada a procedimiento remoto,Remote Procedure Call,การเรียกโปรแกรมย่อยระยะไกล,Uzak Yordam Çağrısı,Віддалений виклик процедур,Gọi hàm từ xa,Remote Procedure Call
